FR,GB
chiennes,bitches
morsure,bite
morceaux,bits
amer,bitter
le noir,black
chantage,blackmail
lame,blade
blabla,blah
Blake,blake
faire des reproches,blame
Vide,blank
couverture,blanket
explosion,blast
saigner,bleed
saignement,bleeding
bip,bleep
bénir,bless
béni,blessed
bénédiction,blessing
souffler,blew
aveugle,blind
bloquer,block
blocs,blocks
type,bloke
blond,blonde
du sang,blood
sanglant,bloody
souffler,blow
soufflant,blowing
soufflé,blown
coups,blows
bleu,blue
bêle,bo
planche,board
embarquement,boarding
bateau,boat
bateaux,boats
bob,bob
policier,bobby
corps,bodies
corps,body
audacieux,bold
bombe,bomb
bombes,bombs
obligation,bond
os,bone
des os,bones
Bonnie,bonnie
huer,boo
livre,book
réservé,booked
livres,books
boom,boom
botte,boot
stand,booth
bottes,boots
biberonner,booze
frontière,border
ennuyé,bored
ennuyeuse,boring
née,born
emprunter,borrow
emprunté,borrowed
chef,boss
Boston,boston
tous les deux,both
embêter,bother
dérangé,bothered
dérangeant,bothering
bouteille,bottle
bouteilles,bottles
fond,bottom
acheté,bought
bondir,bound
combat,bout
arc,bow
bol,bowl
boîte,box
des boites,boxes
garçon,boy
copain,boyfriend
garçons,boys
brad,brad
cerveau,brain
cerveaux,brains
freins,brakes
bifurquer,branch
marque,brand
Brandon,brandon
braver,brave
Bravo,bravo
pain,bread
Pause,break
petit-déjeuner,breakfast
rupture,breaking
pauses,breaks
Sein,breast
seins,breasts
haleine,breath
respirer,breathe
respiration,breathing
Brian,brian
brique,brick
la mariée,bride
pont,bridge
bref,brief
brillant,bright
génial,brilliant
apporter,bring
apportant,bringing
apporte,brings
Grande-Bretagne,britain
Britanique,british
frère,bro
vaste,broad
cassé,broke
cassé,broken
frère,brother
beau-frère,brother-in-law
frères,brothers
amené,brought
brun,brown
Bruce,bruce
brosser,brush
mâle,buck
seau,bucket
chevreuils,bucks
bourgeon,bud
copains,buddies
copain,buddy
budget,budget
punaise,bug
Bugs,bugs
construire,build
imeuble,building
bâtiments,buildings
construit,built
taureau,bull
balle,bullet
balles,bullets
connerie,bullshit
clochard,bum
cogner,bump
groupe,bunch
lapin,bunny
charge,burden
bureau,bureau
Burger,burger
enterré,buried
brûler,burn
brûlé,burned
brûlant,burning
brûlures,burns
brûlé,burnt
éclatement,burst
enterrer,bury
bus,bus
buisson,bush
Entreprise,business
bousiller,bust
cassé,busted
occupé,busy
mais,but
bout,butt
Beurre,butter
bouton,button
acheter,buy
achat,buying
bourdonner,buzz
bourdonnement,buzzing
par,by
au revoir,bye
Bye Bye,bye-bye
c,c
taxi,cab
cabine,cabin
cabinet,cabinet
câble,cable
César,caesar
cage,cage
gâteau,cake
Californie,california
appel,call
appelé,called
appel,calling
appels,calls
calmes,calm
came,cam
est venu,came
caméra,camera
appareils photo,cameras
Cameron,cameron
camp,camp
campagne,campaign
Campus,campus
boîte,can
Canada,canada
annuler,cancel
cancer,cancer
candidat,candidate
bougies,candles
Des bonbons,candy
canon,cannon
ne peux pas,cannot
casquette,cap
capable,capable
Capitale,capital
capitaine,captain
Capturer,capture
capturé,captured
auto,car
carte,card
cartes,cards
se soucier,care
soumis à,cared
carrière,career
prudent,careful
avec attention,carefully
se soucier,cares
cargaison,cargo
carl,carl
carla,carla
carlos,carlos
chant,carol
Caroline,caroline
tapis,carpet
Carrie,carrie
transporté,carried
porter,carry
transport,carrying
voitures,cars
Carson,carson
Chariot,cart
charretier,carter
Cas,case
cas,cases
casey,casey
en espèces,cash
casino,casino
moulage,cast
Château,castle
chat,cat
attraper,catch
contagieux,catching
Catherine,catherine
catholique,catholic
chats,cats
bétail,cattle
attrapé,caught
cause,cause
cause,cause
causé,caused
causes,causes
provoquant,causing
la grotte,cave
plafond,ceiling
célébrer,celebrate
célébrer,celebrating
fête,celebration
cellule,cell
téléphone portable,cellphone
cellules,cells
cimetière,cemetery
centre,center
central,central
centre,centre
cents,cents
des siècles,centuries
siècle,century
la cérémonie,ceremony
certain,certain
assurément,certainly
certificat,certificate
chaîne,chain
chaise,chair
président,chairman
défi,challenge
chambre,chamber
Champagne,champagne
champion,champion
chan,chan
chance,chance
chances,chances
monnaie,change
modifié,changed
changements,changes
en changeant,changing
canaliser,channel
psalmodie,chanting
le chaos,chaos
type,chap
chapitre,chapter
personnage,character
personnages,characters
charge,charge
accusé,charged
des charges,charges
charité,charity
Charles,charles
Charlie,charlie
Charlotte,charlotte
charme,charm
charmant,charming
chasse,chase
ciselure,chasing
discuter,chat
bavarder,chatter
bavardage,chattering
bon marché,cheap
Tricher,cheat
triché,cheated
La triche,cheating
Chèque,check
vérifié,checked
vérification,checking
chèques,checks
bravo,cheer
applaudissement,cheering
à votre santé,cheers
fromage,cheese
chef,chef
chimique,chemical
cerise,cherry
jeu d'échecs,chess
poitrine,chest
chffffff,chffffff
Chicago,chicago
poussin,chick
poulet,chicken
poussins,chicks
chef,chief
enfant,child
enfance,childhood
#VALUE!,children
froideur,chill
menton,chin
Chine,china
chinois,chinese
frites,chips
chant,chirping
Chloe,chloe
Chocolat,chocolate
choix,choice
les choix,choices
choisir,choose
hacher,chop
choisi,chose
choisi,chosen
Chris,chris
Christ,christ
Christian,christian
Christina,christina
Christine,christine
Noël,christmas
Christopher,christopher
mandrin,chuck
rires,chuckles
rire,chuckling
église,church
CIA,cia
cigarette,cigarette
cigarettes,cigarettes
cindy,cindy
cinéma,cinema
cercle,circle
conditions,circumstances
cirque,circus
villes,cities
citoyen,citizen
citoyens,citizens
ville,city
civil,civil
réclamer,claim
revendiqué,claimed
réclamations,claims
Claire,claire
clan,clan
Clara,clara
clark,clark
classer,class
Des classes,classes
classique,classic
Claudia,claudia
argile,clay
nettoyer,clean
nettoyé,cleaned
nettoyage,cleaning
dégager,clear
dégagé,cleared
clairement,clearly
clairs,clears
intelligent,clever
Cliquez sur,click
en cliquant,clicking
clics,clicks
client,client
clients,clients
falaise,cliff
monter,climb
escalade,climbing
clinique,clinic
l'horloge,clock
l'horloge,clock
proche,close
fermé,closed
étroitement,closely
plus proche,closer
se ferme,closes
le plus proche,closest
placard,closet
fermeture,closing
vêtements,clothes
Vêtements,clothing
nuage,cloud
des nuages,clouds
clown,clown
club,club
clubs,clubs
indice,clue
entraîneur,coach
charbon,coal
côte,coast
manteau,coat
cocaïne,cocaine
coq,cock
code,code
café,coffee
cercueil,coffin
pièce de monnaie,coin
hasard,coincidence
du Coca,coke
froid,cold
cole,cole
colin,colin
collier,collar
collègue,colleague
collègues,colleagues
recueillir,collect
le recueil,collection
collège,college
colonel,colonel
Couleur,color
couleurs,colors
Couleur,colour
coma,coma
combat,combat
combinaison,combination
viens,come
la comédie,comedy
vient,comes
confort,comfort
à l'aise,comfortable
bande dessinée,comic
venir,comin
à venir,coming
commande,command
le commandant,commander
commentaire,comment
commercial,commercial
commission,commission
le commissaire,commissioner
commettre,commit
engagement,commitment
engagé,committed
Comité,committee
commun,common
communiquer,communicate
la communication,communication
communiste,communist
communauté,community
entreprises,companies
compagnie,company
comparer,compare
par rapport,compared
concurrence,competition
se plaindre,complain
se plaindre,complaining
plainte,complaint
Achevée,complete
complété,completed
totalement,completely
complexe,complex
compliqué,complicated
l'ordinateur,computer
des ordinateurs,computers
camarade,comrade
camarades,comrades
con,con
concentré,concentrate
concept,concept
préoccuper,concern
concerné,concerned
préoccupations,concerns
concert,concert
conclusion,conclusion
condition,condition
les conditions,conditions
conduire,conduct
conférence,conference
avouer,confess
confession,confession
confiance,confidence
sur de soi,confident
confirmer,confirm
confirmé,confirmed
conflit,conflict
confus,confused
toutes nos félicitations,congratulations
congrès,congress
relier,connect
lié,connected
lien,connection
Connie,connie
Connor,connor
conscience,conscience
conséquences,consequences
envisager,consider
considéré,considered
considérant,considering
conspiration,conspiracy
constant,constant
en permanence,constantly
construction,construction
Contactez,contact
contenu,content
concours,contest
Continuez,continue
a continué,continued
continue,continues
Contrat,contract
contraire,contrary
contrôler,control
contrôlé,controlled
conversation,conversation
conversations,conversations
convaincre,convince
convaincu,convinced
cuisinier,cook
cuit,cooked
biscuit,cookie
biscuits,cookies
cuisine,cooking
cool,cool
tonnelier,cooper
coopérer,cooperate
flic,cop
copies,copies
flics,cops
copie,copy
cœur,core
maïs,corn
coin,corner
corporel,corporal
corporatif,corporate
corps,corpse
corriger,correct
corrigée,corrected
COS,cos
Coût,cost
frais,costs
costume,costume
coton,cotton
canapé,couch
tousser,coughing
toux,coughs
pourrait,could
ne pouvait pas,couldn
conseil,council
Conseil,counsel
conseiller,counselor
compter,count
compteur,counter
compte,counting
des pays,countries
pays,country
comptes,counts
comté,county
couple,couple
courage,courage
cours,course
rechercher,court
cousine,cousin
couverture,cover
couvert,covered
couvrant,covering
vache,cow
lâche,coward
cow-boy,cowboy
vaches,cows
fissure,crack
craig,craig
grue,crane
et mince,crap
crash,crash
écrasé,crashed
écraser,crashing
fou,crazy
crème,cream
créer,create
établi,created
création,creating
création,creation
Créatif,creative
créature,creature
créatures,creatures
le crédit,credit
sinistre,creepy
équipage,crew
pleuré,cried
cris,cries
la criminalité,crime
crimes,crimes
criminel,criminal
les criminels,criminals
crise,crisis
critique,critical
traverser,cross
franchi,crossed
traversée,crossing
foule,crowd
couronne,crown
cruel,cruel
croisière,cruise
écraser,crush
écrasé,crushed
cri,cry
pleurs,crying
cristal,crystal
Culture,culture
Coupe,cup
soigner,cure
curieux,curious
courant,current
actuellement,currently
malédiction,curse
maudit,cursed
curtis,curtis
garde,custody
client,customer
clients,customers
Couper,cut
mignonne,cute
coupures,cuts
Coupe,cutting
cycle,cycle
ré,d
da,da
papa,dad
papa,daddy
du quotidien,daily
Marguerite,daisy
vallée,dale
dégâts,damage
endommagé,damaged
prendre la gueulée,dammit
Zut,damn
damné,damned
Dan,dan
Dana,dana
Danse,dance
Danseur,dancer
dansant,dancing
danger,danger
dangereux,dangerous
Daniel,daniel
Danny,danny
oser,dare
foncé,dark
ténèbres,darkness
chérie,darling
Zut,darn
Les données,data
Date,date
daté,dated
Rendez-vous,dates
sortir ensemble,dating
la fille,daughter
filles,daughters
Dave,dave
David,david
davis,davis
aube,dawn
journée,day
journées,days
de,de
morte,dead
mortel,deadly
sourd,deaf
accord,deal
Marchand,dealer
transaction,dealing
offres,deals
doyen,dean
chère,dear
décès,death
des morts,deaths
débat,debate
debbie,debbie
dette,debt
décembre,december
décent,decent
décider,decide
décidé,decided
décision,decision
les décisions,decisions
plate-forme,deck
dédié,dedicated
Profond,deep
Plus profond,deeper
profondément,deeply
défaite,defeat
vaincu,defeated
la défense,defence
défendre,defend
défendeur,defendant
la défense,defense
absolument,definitely
diplôme,degree
degrés,degrees
del,del
retard,delay
délicat,delicate
délicieuse,delicious
ravi,delighted
livrer,deliver
livré,delivered
livraison,delivery
demande,demand
demandes,demands
démon,demon
démons,demons
refusé,denied
dennis,dennis
Nier,deny
département,department
dépend,depends
verser,deposit
déprimé,depressed
adjoint,deputy
derek,derek
décris,describe
décrit,described
la description,description
désert,desert
mériter,deserve
mérité,deserved
mérite,deserves
motif,design
conçu,designed
designer,designer
désir,desire
bureau,desk
désespéré,desperate
en dépit,despite
le dessert,dessert
destin,destiny
détruire,destroy
détruit,destroyed
destruction,destroying
destruction,destruction
détail,detail
détails,details
détective,detective
détectives,detectives
déterminer,determine
déterminé,determined
développer,develop
développé,developed
développement,development
dispositif,device
diable,devil
diable,di
cadran,dial
diamant,diamond
diamants,diamonds
Diane,diana
Diane,diane
agenda,diary
queue,dick
a fait,did
mourir,die
décédés,died
Diego,diego
meurt,dies
diète,diet
différence,difference
différent,different
différemment,differently
difficile,difficult
creuser,dig
creusement,digging
dignité,dignity
dits,dings
à manger,dining
dîner,dinner
direct,direct
dirigée,directed
direction,direction
directement,directly
directeur,director
saleté,dirt
sale,dirty
disparaître,disappear
disparu,disappeared
désappointé,disappointed
un sinistre,disaster
découvrir,discover
découvert,discovered
Découverte,discovery
discuter,discuss
discuté,discussed
discussion,discussion
maladie,disease
répugnant,disgusting
assiette,dish
vaisselle,dishes
rejeté,dismissed
affichage,display
distance,distance
loin,distant
district,district
déranger,disturb
inquiétant,disturbing
se plonger,dive
Divin,divine
division,division
divorcer,divorce
divorcé,divorced
ADN,dna
fais,do
doc,doc
docteur,doctor
médecins,doctors
document,document
documents,documents
Est-ce que,does
ne fait pas,doesn
chien,dog
chiens,dogs
faire,doin
Faire,doing
poupée,doll
dollar,dollar
dollar,dollars
Donald,donald
Fini,done
Donna,donna
ne le faites pas,dont
porte,door
sabell,doorbell
des portes,doors
drogue,dope
Dorothy,dorothy
double,double
doute,doubt
les doutes,doubts
Doug,doug
Pâte,dough
vers le bas,down
en bas,downstairs
centre ville,downtown
douzaine,dozen
dr,dr
Dr.,dr.
glisser,drag
traîné,dragged
dragon,dragon
drame,drama
spectaculaire,dramatic
buvait,drank
dessiner,draw
tiroir,drawer
dessin,drawing
dessiné,drawn
rêver,dream
rêvé,dreamed
rêver,dreaming
rêves,dreams
robe,dress
habillé,dressed
pansement,dressing
a dessiné,drew
perceuse,drill
boisson,drink
en buvant,drinking
boisson,drinks
conduire,drive
entraîné,driven
chauffeur,driver
disques,drives
conduite,driving
goutte,drop
chuté,dropped
goutte,dropping
gouttes,drops
a conduit,drove
noyer,drown
noyé,drowned
médicament,drug
drogues,drugs
tambouriner,drum
ivre,drunk
sec,dry
canard,duck
mec,dude
exigible,due
creusé,dug
Duc,duke
terne,dull
stupide,dumb
décharger,dump
abandonné,dumped
Duncan,duncan
ne pas faire,dunno
durant,during
poussière,dust
néerlandais,dutch
fonctions,duties
devoir,duty
mourant,dying
Dylan,dylan
e,e
e-mail,e-mail
chaque,each
Aigle,eagle
oreille,ear
comte,earl
plus tôt,earlier
tôt,early
gagner,earn
mérité,earned
oreilles,ears
la terre,earth
faciliter,ease
Plus facile,easier
facilement,easily
est,east
est,eastern
facile,easy
manger,eat
mangé,eaten
en mangeant,eating
manger,eats
économie,economy
élégant,ed
Eddie,eddie
bord,edge
éditeur,editor
éducation,education
Edward,edward
effet,effect
efficace,effective
effets,effects
effort,effort
efforts,efforts
Oeuf,egg
des œufs,eggs
Egypte,egypt
Eh,eh
huit,eight
Soit,either
El,el
aîné,elder
élection,election
électrique,electric
électricité,electricity
électronique,electronic
éléments,elements
Elena,elena
l'éléphant,elephant
ascenseur,elevator
Onze,eleven
Eli,eli
Elizabeth,elizabeth
Ellen,ellen
Ellie,ellie
Elliot,elliot
autre,else
autre part,elsewhere
em,em
embarrassé,embarrassed
gênant,embarrassing
ambassade,embassy
embrasse,embrace
urgence,emergency
Emilie,emily
Emma,emma
émotion,emotion
émotionnel,emotional
émotions,emotions
empereur,emperor
Empire,empire
employé,employee
des employés,employees
vide,empty
en,en
fin,end
terminé,ended
fin,ending
prend fin,ends
ennemis,enemies
ennemi,enemy
énergie,energy
engagé,engaged
engagement,engagement
moteur,engine
ingénieur,engineer
moteurs,engines
Angleterre,england
Anglais,english
prendre plaisir,enjoy
apprécié,enjoyed
profit,enjoying
énorme,enormous
suffisant,enough
Entrer,enter
entré,entered
entrée,entering
divertissement,entertainment
entier,entire
entièrement,entirely
entrée,entrance
entrée,entry
enveloppe,envelope
environnement,environment
envie,envy
épisode,episode
égal,equal
équipement,equipment
euh,er
ère,era
Eric,eric
erm,erm
Erreur,error
échapper,escape
échappé,escaped
escorte,escort
surtout,especially
établi,established
domaine,estate
ET,et
éternel,eternal
Ethan,ethan
L'Europe ,europe
européen,european
Eva,eva
Evan,evan
veille,eve
même,even
soirée,evening
un événement,event
événements,events
finalement,eventually
déjà,ever
tous,every
Tout le monde,everybody
tous les jours,everyday
tout le monde,everyone
tout,everything
partout,everywhere
preuve,evidence
mauvais,evil
EW,ew
ex,ex
exact,exact
exactement,exactly
examen,exam
Exemple,example
Excellence,excellency
excellent,excellent
à l'exception,except
échanger,exchange
excité,excited
excitation,excitement
passionnant,exciting
excuse,excuse
des excuses,excuses
réalisé,executed
exécutif,executive
exercer,exercise
exhales,exhales
épuisé,exhausted
exister,exist
existé,existed
existence,existence
existant,exists
sortir,exit
attendre,expect
attendu,expected
attendant,expecting
chere,expensive
vivre,experience
expérimenté,experienced
expérience,experiment
expert,expert
Explique,explain
expliqué,explained
explique,explains
explication,explanation
exploser,explode
explosion,explosion
exposé,exposed
Express,express
expression,expression
En plus,extra
extraordinaire,extraordinary
extrême,extreme
extrêmement,extremely
œil,eye
les yeux,eyes
F,f
fabuleux,fabulous
Visage,face
face à face,faced
visages,faces
facilité,facility
orienté vers,facing
fait,fact
usine,factory
les faits,facts
échouer,fail
manqué,failed
échec,failure
perdre connaissance,faint
équitable,fair
équitablement,fairly
Fée,fairy
Foi,faith
fidèle,faithful
faux,fake
tomber,fall
déchu,fallen
chute,falling
des chutes,falls
célébrité,fame
familier,familiar
familles,families
famille,family
célèbre,famous
ventilateur,fan
fantaisie,fancy
Ventilateurs,fans
fantastique,fantastic
fantaisie,fantasy
loin,far
adieu,farewell
cultiver,farm
agriculteur,farmer
fascinant,fascinating
mode,fashion
vite,fast
plus rapide,faster
gros,fat
sort,fate
père,father
pères,fathers
défaut,fault
favoriser,favor
favori,favorite
favoriser,favour
favori,favourite
FBI,fbi
craindre,fear
peurs,fears
festin,feast
nourris,fed
fédéral,federal
frais,fee
nourrir,feed
alimentation,feeding
se sentir,feel
sentiment,feeling
sentiments,feelings
se sent,feels
pieds,feet
felix,felix
abattre,fell
gars,fella
gars,fellas
compagnon,fellow
feutre,felt
femelle,female
clôture,fence
festival,festival
aller chercher,fetch
fièvre,fever
peu,few
champ,field
des champs,fields
quinze,fifteen
cinquième,fifth
cinquante,fifty
lutte,fight
combattant,fighter
lutte,fighting
combats,fights
chiffre,figure
figuré,figured
Les figures,figures
dossier,file
déposé,filed
des dossiers,files
remplir,fill
rempli,filled
remplissage,filling
film,film
tournage,filming
films,films
sale,filthy
final,final
finalement,finally
financier,financial
trouver,find
découverte,finding
découvertes,finds
bien,fine
meilleur,finest
doigt,finger
empreintes,fingerprints
des doigts,fingers
terminer,finish
achevé,finished
Feu,fire
licencié,fired
les feux,fires
cuisson,firing
solidifier,firm
première,first
poisson,fish
faire de la pêche,fishing
poing,fist
adapter,fit
ajustement,fits
cinq,five
réparer,fix
fixé,fixed
drapeau,flag
flamme,flame
flammes,flames
éclat,flash
appartement,flat
flotte,fleet
chair,flesh
a volé,flew
mouches,flies
voyage en avion,flight
retourner,flip
flottant,floating
sol,floor
Floride,florida
couler,flow
fleur,flower
fleurs,flowers
mouche,fly
en volant,flying
se concentrer,focus
concentré,focused
populaire,folk
gens,folks
suivre,follow
suivi,followed
Suivant,following
affronter,fond
aliments,food
idiot,fool
dupé,fooled
tromperie,fooling
insensé,foolish
imbécile,fools
le pied,foot
images,footage
Football,football
trace de pas,footsteps
pour,for
interdire,forbid
interdit,forbidden
Obliger,force
forcé,forced
les forces,forces
gué,ford
étranger,foreign
forêt,forest
toujours,forever
Oubliez,forget
oubli,forgetting
pardonner,forgive
le pardon,forgiveness
oublié,forgot
oublié,forgotten
formulaire,form
formé,formed
ancien,former
formes,forms
fort,fort
en avant,forth
fortune,fortune
vers l'avant,forward
favoriser,foster
combattu,fought
faute,foul
trouvé,found
fondation,foundation
quatre,four
Quatrième,fourth
renard,fox
Cadre,frame
La France,france
Francis,francis
Francisco,francisco
francs,francs
franc,frank
franc,frankie
Franklin,franklin
franchement,frankly
fraude,fraud
Freak,freak
flippant,freaking
Fred,fred
freddy,freddy
libre,free
liberté,freedom
gel,freeze
gelé,freezing
français,french
Frais,fresh
Vendredi,friday
frigo,fridge
frit,fried
ami,friend
amical,friendly
copains,friends
relation amicale,friendship
effrayé,frightened
grenouille,frog
de,from
de face,front
congelé,frozen
fruit,fruit
frire,fry
fu,fu
Merde,fuck
baisé,fucked
Enfoiré,fucker
putain,fuckin
putain de,fucking
le carburant,fuel
plein,full
pleinement,fully
amusement,fun
fonction,function
fonds,fund
funéraire,funeral
drôle,funny
meubles,furniture
plus loin,further
s'agiter,fuss
avenir,future
g,g
Gabriel,gabriel
Gain,gain
galaxie,galaxy
Galerie,gallery
jeux d'argent,gambling
Jeu,game
Jeux,games
gang,gang
garage,garage
des ordures,garbage
jardin,garden
Gary,gary
gaz,gas
halètement,gasping
halètement,gasps
portail,gate
portes,gates
rassembler,gather
réunis,gathered
a donné,gave
gay,gay
équipement,gear
faire un coup de poing,gee
débordement,geez
gène,gene
général,general
génération,generation
généreuse,generous
génie,genius
doux,gentle
gentleman,gentleman
Messieurs,gentlemen
doucement,gently
véritable,genuine
George,george
allemand,german
Allemands,germans
Allemagne,germany
obtenir,get
se faire,gets
gettin,gettin
obtenir,getting
fantôme,ghost
des fantômes,ghosts
géant,giant
gibbs,gibbs
cadeau,gift
cadeaux,gifts
concert,gig
rires,giggles
fou rire,giggling
donner un coup de pied,gimme
gina,gina
Gingembre,ginger
fille,girl
petite amie,girlfriend
les filles,girls
donner,give
donné,given
donner,gives
donnant,giving
verre,glass
lunettes,glasses
global,global
Gloria,gloria
glorieux,glorious
gloire,glory
gants,gloves
